,BatchId,AccountId,SubscriptionId,CustomerId,ProviderId,ProductId,ProductCategory,ChannelId,Amount,Value,PricingStrategy,ClientProfile,TrasactionCategory,hour,FraudResult_cat_model_cft,FraudResult_cat_model_full_cft
0,96810,3933,3115,4380,1,8,7,3,11000.0,11330,2,0,1,1,0.0,0.0
1,114595,4841,3829,4380,4,6,2,2,-5000.0,5000,2,0,3,1,0.0,0.0
2,104610,3933,3115,4380,6,10,0,3,2000.0,2000,2,0,2,1,0.0,0.0
3,78588,835,3465,1180,5,15,2,3,10000.0,10000,2,2,2,2,0.0,0.0
4,59419,835,3465,1180,5,15,2,3,10000.0,10000,2,2,2,2,0.0,0.0
5,49799,835,3465,1180,5,15,2,3,10000.0,10000,2,2,3,2,0.0,0.0
6,62091,2258,1079,2670,1,10,0,3,10000.0,10000,4,2,1,2,0.0,0.0
7,27796,4841,3829,2670,4,6,2,2,-5000.0,5000,2,0,2,2,0.0,0.0
8,112119,4840,3829,2670,4,6,2,2,-1000.0,1000,2,4,2,2,0.0,0.0
9,30766,835,3465,1180,5,15,2,3,10000.0,10000,2,2,2,2,0.0,0.0
10,104878,2258,1079,2670,1,3,0,3,10000.0,10000,4,2,3,2,0.0,0.0
11,25071,4841,3829,2670,4,6,2,2,-5000.0,5000,2,0,2,2,0.0,0.0
12,76111,1639,1147,2018,5,10,0,3,10000.0,10000,4,4,1,2,0.0,0.0
13,111422,4841,3829,2018,4,6,2,2,-5000.0,5000,2,0,1,2,0.0,0.0
14,42305,4840,3829,2018,4,6,2,2,-1000.0,1000,2,4,2,2,0.0,0.0
15,114685,1639,1147,2018,1,3,0,3,10000.0,10000,4,4,3,2,0.0,0.0
16,66488,4841,3829,2018,4,6,2,2,-5000.0,5000,2,0,2,2,0.0,0.0
17,86806,3993,1778,4443,5,10,0,3,10000.0,10000,4,3,1,2,0.0,0.0
18,99057,4841,3829,4443,4,6,2,2,-5000.0,5000,2,0,1,2,0.0,0.0
19,67275,3993,1778,4443,1,3,0,3,10000.0,10000,4,3,2,2,0.0,0.0
20,126715,4841,3829,4443,4,6,2,2,-5000.0,5000,2,0,2,2,0.0,0.0
21,124051,36,2291,352,5,10,0,3,10000.0,10000,4,2,2,2,0.0,0.0
22,36298,4841,3829,352,4,6,2,2,-5000.0,5000,2,0,1,2,0.0,0.0
23,72519,36,2291,352,1,3,0,3,10000.0,10000,4,2,2,2,0.0,0.0
